Note,Unigram,Bigram,Trigram
Travel and Tourism Site for Kentucky -- Note added 6/6/13 19:38,"site,tourism,travel","travel tourism,tourism site",travel tourism site
Kentucky Higher Education Assistance Authority -- Note added 7/26/13 17:48,authority,,
Ky legislature -- Note added 8/27/15 16:39,,,
Kansas State Board of Healing Arts -- Note added 7/9/14 4:38,"state,board",state board,
Kansas State Board of Nursing -- Note added 7/9/14 4:39,"state,board",state board,
Kansas Judicial Branch -- Note added 7/9/14 4:40,,,
Kansas Department of Transportation -- Note added 3/20/14 15:35,department,,
Kansas Historical Society -- Note added 7/9/14 4:41,,,
Kansas State Legislature -- Note added 7/9/14 4:42,state,,
Kansas Lottery -- Note added 6/12/13 14:09,lottery,,
Kansas Department of Revenue -- Note added 7/9/14 4:44,department,,
"Office of the Secretary of State, State of Kansas -- Note added 7/23/14 15:51","state,office",,
Kentucky Department of Agriculture -- Note added 7/5/13 17:39,department,,
ky convention center  -- Note added 8/27/15 16:39,,,
Kentucky Education Professional Standards Board -- Note added 7/5/13 17:38,board,,
KY expo center -- Note added 8/27/15 16:41,,,
Kentucky Lottery -- Note added 6/12/13 14:10,lottery,,
KY Treasury -- Note added 8/27/15 16:42,,,
LA Board of Examiners of Nursing Facility Administrators -- Note added 9/22/15 20:03,board,board examiners,
Louisiana Board of Massage Therapy -- Note added 11/12/15 17:36,"board,louisiana",,
Louisiana Board of Pharmacy -- Note added 8/24/15 14:41,"board,louisiana",,
Louisiana State Board of Social Work Examiners -- Note added 8/24/15 14:41,"state,board,louisiana",state board,louisiana state board
 Louisiana State Board of Chiropractic Examiners -- Note added 8/24/15 14:42,"state,board,louisiana",state board,louisiana state board
The Council of Information Services Directors for Louisiana -- Note added 8/24/15 14:43,"services,louisiana",,
Louisiana Board of Examiners of Certified Shorthand Reporters -- Note added 9/23/15 12:16,"board,louisiana",board examiners,
Louisiana Developmental Disabilities Council -- Note added 9/23/15 13:30,louisiana,,
"Louisiana Egg Commission, Louisiana Department of Agriculture & Forestry  -- Note added 9/23/15 14:53","department,commission,louisiana",,
Louisiana Auctioneers Licensing Board -- Note added 9/23/15 16:37,"board,louisiana",,
Louisiana Professional Engineering and Land Surveying Board -- Note added 8/24/15 14:46,"board,louisiana",,
Louisiana Physical Therapy Board -- Note added 8/24/15 14:46,"board,louisiana",,
Louisiana Supreme Court -- Note added 9/23/15 16:38,louisiana,,
Louisiana State Board of Architectural Examiners -- Note added 1/14/14 14:13,"state,board,louisiana",state board,louisiana state board
Louisiana Workforce Commission (LAWorks) -- Note added 9/23/15 16:41,"commission,louisiana",,
Louisiana Board of Examiners in Dietetics and Nutrition  -- Note added 8/24/15 14:48,"board,louisiana",board examiners,
Louisiana board of speech language pathology -- Note added 8/24/15 14:51,"board,louisiana",,
Legislature of the Virgin Islands -- Note added 8/18/14 14:07,,virgin islands,
League of Kansas Municipalities -- Note added 7/9/14 4:50,,,
"South Carolina Department of Labor, Licensing and Regulation -- Note added 1/17/14 15:50","carolina,department","carolina department,south carolina",
"League of Minnesota Cities Per the 'About the League' section of their website, LMC is 'a membership organization dedicated to promoting excellence in local government.'  -- Note added 4/26/15 4:37",,,
